"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
207,"NCT04323839","COVID-19 PRIORITY (Pregnancy CoRonavIrus Outcomes RegIsTrY)","PRIORITY","Recruiting","No Results Available","Pregnancy|Coronavirus|COVID-19","Other: Pregnant women under investigation for Coronavirus or diagnosed with COVID-19|Other: Postpartum women under investigation for Coronavirus or diagnosed with COVID-19","Clinical presentation|Disease prognosis outcomes|Pregnancy outcomes|Obstetric outcomes|Neonatal outcomes|Modes of transmission of COVID-19","University of California, San Francisco|University of California, Los Angeles","Female","18 Years and older   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20-30410","March 20, 2020","March 31, 2024","March 31, 2024","March 27, 2020",,"April 7, 2020","University of California, San Francisco, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT04323839"
208,"NCT04312009","Losartan for Patients With COVID-19 Requiring Hospitalization",,"Not yet recruiting","No Results Available","Corona Virus Infection|Acute Respiratory Distress Syndrome|SARS-CoV Infection","Drug: Losartan|Other: Placebo","Sequential Organ Failure Assessment (SOFA) Respiratory Score|28-Day Mortality|90-Day Mortality|Respiratory Failure Requiring Mechanical Ventilation|Number of 28-Day Ventilator-Free Days|Length of Hospital Stay|ICU Admission|ICU Length of Stay|Acute Kidney Injury|Hypotension Requiring Vasopressors|Sequential Organ Failure Assessment (SOFA) Total Score|Severity Assessment|Incidence of Respiratory Failure|Oxygen Saturation / Fractional Inhaled Oxygen (F/S)","University of Minnesota","All","18 Years and older   (Adult, Older Adult)","Phase 2","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","SURG-2020-28675","April 2, 2020","April 1, 2021","April 1, 2021","March 17, 2020",,"April 3, 2020","Hennepin County Medical Center, Minneapolis, Minnesota, United States|M Health Fairview University of Minnesota Medical Center, Minneapolis, Minnesota, United States|University of Minnesota, Minneapolis, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04312009"
209,"NCT04313946","Artificial Intelligence Algorithms for Discriminating Between COVID-19 and Influenza Pneumonitis Using Chest X-Rays","AI-COVID-Xr","Recruiting","No Results Available","COVID-19|Pneumonia, Viral|Influenza With Pneumonia|Flu Symptom|Flu Like Illness|Pneumonia, Interstitial|Pneumonia, Ventilator-Associated|Pneumonia Atypical","Diagnostic Test: Scanning Chest X-rays and performing AI algorithms on images","COVID-19 positive X-Rays|COVID-19 negative X-Rays","Professor Adrian Covic|Falcon Trading Iasi|Grigore T. Popa University of Medicine and Pharmacy","All","Child, Adult, Older Adult",,"200","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Prospective","0110","March 18, 2020","August 16, 2020","August 18, 2020","March 18, 2020",,"April 2, 2020","U.O. Multidisciplinare di Patologia Mammaria e Ricerca Traslazionale; Dipartimento Universitario Clinico di Scienze Mediche, Chirurgiche e della Salute Università degli Studi di Trieste, Cremona, Italy|University of Medicine and Pharmacy Gr T Popa, Iaşi, Romania|Department of Cardiology at Chelsea and Westminster NHS hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04313946"
210,"NCT04315948","Trial of Treatments for COVID-19 in Hospitalized Adults","DisCoVeRy","Recruiting","No Results Available","Corona Virus Infection","Drug: Remdesivir|Drug: Lopinavir/ritonavir|Drug: Interferon Beta-1A|Drug: Hydroxychloroquine|Other: Standard of care","Percentage of subjects reporting each severity rating on a 7-point ordinal scale|Percentage of subjects reporting each severity rating on a 7-point on an ordinal scale|The time to discharge or to a NEWS of ≤ 2 and maintained for 24 hours, whichever occurs first.|Number of oxygenation free days in the first 28 days|Incidence of new oxygen use, non-invasive ventilation or high flow oxygen devices during the trial.|Duration of new oxygen use, non-invasive ventilation or high flow oxygen devices during the trial.|Ventilator free days in the first 28 days|Incidence of new mechanical ventilation use during the trial.|Hospitalization|Mortality|Cumulative incidence of serious adverse events (SAEs)|Cumulative incidence of Grade 3 and 4 adverse events (AEs)|Number of participants with a discontinuation or temporary suspension of study drugs (for any reason)|Changes from baseline in blood white cell count|Changes from baseline in haemoglobin|Changes from baseline in platelets|Changes from baseline in creatinine|Changes from baseline in blood electrolytes (including kaliemia)|Changes from baseline in prothrombine time|Changes from baseline in international normalized ratio (INR)|Changes from baseline in glucose|Changes from baseline in total bilirubin|Changes from baseline in alanine aminotransferase (ALT)|Changes from baseline in aspartate aminotransferase (AST)","Institut National de la Santé Et de la Recherche Médicale, France","All","18 Years and older   (Adult, Older Adult)","Phase 3","3100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","C20-15","March 22, 2020","March 2023","March 2023","March 20, 2020",,"March 25, 2020","CHRU Lille, Lille, France|CHU Nantes, Nantes, France|APHP - Bichat Claude Bernard, Paris, France",,"https://ClinicalTrials.gov/show/NCT04315948"
211,"NCT04311177","Losartan for Patients With COVID-19 Not Requiring Hospitalization",,"Not yet recruiting","No Results Available","Corona Virus Infection|Acute Respiratory Distress Syndrome|SARS-CoV Infection","Drug: Losartan|Other: Placebo","Hospital Admission|Change in PROMIS Dyspnea Functional Limitations|Change in PROMIS Dyspnea Severity|Fever Incidence Day 3|Fever Incidence Day 5|Fever Incidence Day 7|Fever Incidence Day 10|Severity of Symptoms upon Hospital Admission","University of Minnesota","All","18 Years and older   (Adult, Older Adult)","Phase 2","516","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","SURG-2020-28683","April 2, 2020","April 1, 2021","April 1, 2021","March 17, 2020",,"April 3, 2020","Hennepin County Medical Center, Minneapolis, Minnesota, United States|M Health Fairview University of Minnesota Medical Center, Minneapolis, Minnesota, United States|University of Minnesota, Minneapolis, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04311177"
212,"NCT04335032","EPA-FFA to Treat Hospitalised Patients With SARS-CoV-2",,"Not yet recruiting","No Results Available","SARS-CoV-2","Drug: Eicosapentaenoic acid gastro-resistant capsules","Efficacy of EPA-FFA|Increase in oxygen saturation|PaO2/FiO2 >300mmHg increase|Reduction of IL-6|Mortality rate reduction|Reduction in ICU stays|Reducing hospitalisation days|reduction in need for mechanical ventilation|Fever reduction","S.L.A. Pharma AG","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","150","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EPA-COV-001","April 13, 2020","July 13, 2020","July 31, 2020","April 6, 2020",,"April 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04335032"
213,"NCT04252118","Mesenchymal Stem Cell Treatment for Pneumonia Patients Infected With 2019 Novel Coronavirus",,"Recruiting","No Results Available","2019 Novel Coronavirus Pneumonia","Biological: MSCs","Size of lesion area by chest radiograph or CT|Side effects in the MSCs treatment group|Improvement of Clinical symptoms including duration of fever and respiratory|Time of nucleic acid turning negative|Rate of mortality within 28-days|CD4+ and CD8+ T celll count|Alanine aminotransferase|C-reactive protein|Creatine kinase","Beijing 302 Hospital|Innovative Precision Medicine Group (IPM), Hangzhou, China.|Wuhan Huoshenshan Hospital, Wuhan, China|Tianjin Haihe Hospital|VCANBIO CELL & GENE ENGINEERING CORP.,LTD, China|Shenzhen Third People's Hospital|Fifth Affiliated Hospital, Sun Yat-Sen University","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","20","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020003D","January 27, 2020","December 2020","December 2021","February 5, 2020",,"February 26, 2020","Beijing 302 Military Hospital of China, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04252118"
214,"NCT04337788","Gerontological Telemonitoring of Older Adults Living in Nursing Homes With COVID-19 Disease","COVIDeHPAD","Not yet recruiting","No Results Available","Coronavirus Infection","Other: telehealth applications","Impact of Gerontological telemonitoring on healthcare management for older adults living in Nursing Homes with symptoms of confirmed or probable COVID-19 disease (Death within 30 days).","University Hospital, Limoges","All","75 Years and older   (Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","87RI20_0013","April 2020","July 2020","September 2020","April 8, 2020",,"April 8, 2020",,,"https://ClinicalTrials.gov/show/NCT04337788"
215,"NCT04261426","The Efficacy of Intravenous Immunoglobulin Therapy for Severe 2019-nCoV Infected Pneumonia",,"Not yet recruiting","No Results Available","2019-nCoV","Drug: Intravenous Immunoglobulin|Other: Standard care","Clinical improvement based on the 7-point scale|Lower Murray lung injury score|28-day mortality|Duration of mechanical ventilation|Duration of hospitalization|Proportion of patients with negative RT-PCR results|Proportion of patients in each category of the 7-point scale|Proportion of patients with normalized inflammation factors|Frequency of Adverse Drug Events|Frequency of Serious Adverse Drug Events","Peking Union Medical College Hospital|Tongji Hospital of Tongji Medical College, Huazhong University of Science and Technology","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IVIG-001","February 10, 2020","April 30, 2020","June 30, 2020","February 7, 2020",,"February 7, 2020",,,"https://ClinicalTrials.gov/show/NCT04261426"
216,"NCT04273646","Study of Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Novel Coronavirus Severe Pneumonia",,"Not yet recruiting","No Results Available","2019 Novel Coronavirus Pneumonia|COVID-19","Biological: UC-MSCs|Drug: Placebo","Pneumonia severity index|Oxygenation index (PaO2/FiO2)|Side effects in the UC-MSCs treatment group|28-days survival|Sequential organ failure assessment|C-reactive protein|Procalcitonin|Lymphocyte count|CD3+, CD4+ and CD8+ T celll count|CD4+/CD8+ratio","Wuhan Union Hospital, China|Wuhan Hamilton Bio-technology Co., Ltd, China.","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","202001","February 16, 2020","June 30, 2020","February 15, 2022","February 18, 2020",,"February 21, 2020","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04273646"
217,"NCT04332016","COVID-19 Biological Samples Collection","COLCOV19-BX","Recruiting","No Results Available","Infection Viral","Other: biological samples collection","COVID-19 desease description","University Hospital, Bordeaux","All","up to 100 Years   (Child, Adult, Older Adult)",,"2000","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","CHUBX 2020/11","April 2, 2020","March 2023","March 2023","April 2, 2020",,"April 3, 2020","Centre Hospitalier Universitaire de Bordeaux, Bordeaux, France",,"https://ClinicalTrials.gov/show/NCT04332016"
218,"NCT04255017","A Prospective/Retrospective,Randomized Controlled Clinical Study of Antiviral Therapy in the 2019-nCoV Pneumonia",,"Recruiting","No Results Available","2019-nCoV","Drug: Abidol hydrochloride|Drug: Oseltamivir|Drug: Lopinavir/ritonavir","Rate of disease remission|Time for lung recovery|Rate of no fever|Rate of respiratory symptom remission|Rate of lung imaging recovery|Rate of CRP,ES,Biochemical criterion(CK,ALT,Mb) recovery|Rate of undetectable viral RNA","Tongji Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 4","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","TJ20200128","February 1, 2020","June 1, 2020","July 1, 2020","February 5, 2020",,"March 17, 2020","Department and Institute of Infectious Disease, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04255017"
219,"NCT04254874","A Prospective/Retrospective,Randomized Controlled Clinical Study of Interferon Atomization in the 2019-nCoV Pneumonia",,"Recruiting","No Results Available","2019-nCoV","Drug: Abidol hydrochloride|Drug: Abidol Hydrochloride combined with Interferon atomization","Rate of disease remission|Time for lung recovery|Rate of no fever|Rate of respiratory symptom remission|Rate of lung imaging recovery|Rate of CRP,ES,Biochemical criterion (CK,ALT,Mb)recovery|Rate of undetectable viral RNA","Tongji Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 4","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","TJ20200131","February 1, 2020","June 1, 2020","July 1, 2020","February 5, 2020",,"March 17, 2020","Department and Institute of Infectious Disease, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04254874"
220,"NCT04275414","Bevacizumab in Severe or Critical Patients With COVID-19 Pneumonia","BEST-CP","Recruiting","No Results Available","Coronavirus Infections","Drug: Bevacizumab Injection","Partial arterial oxygen pressure (PaO2) to fraction of inspiration O2 (FiO2) ratio|Degree of dyspnea (Liker scale)|Degree of dyspnea (VAS)|The area of lung lesions on Chest CT|The degree of lung exudation on Chest CT|SpO2|PaO2|CRP|hs-CRP|All-cause mortality","Qilu Hospital of Shandong University|Renmin Hospital of Wuhan University|Moriggia-Pelascini Gravedona Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2|Phase 3","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","QLEmer20200214","February 15, 2020","April 2020","May 2020","February 19, 2020",,"April 3, 2020","Renmin Hospital of Wuhan University, Wuhan, Hubei, China|Qilu Hospital of Shandong University, Jinan, Shandong, China|Moriggia-Pelascini Gravedona Hospital, Gravedona, Italy",,"https://ClinicalTrials.gov/show/NCT04275414"
221,"NCT04316949","Predictors of Respiratory Failure in SARS-Cov-2 Infection",,"Recruiting","No Results Available","SARS-CoV-2 Pneumonia",,"Respiratory failure|Occurence of bacterial superinfection","University of Bologna","All","18 Years to 99 Years   (Adult, Older Adult)",,"350","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","PREDI-CO","March 20, 2020","April 30, 2020","May 31, 2020","March 20, 2020",,"April 7, 2020","University of Bologna - Department of Medical and Surgical Sciences, Bologna, Italy",,"https://ClinicalTrials.gov/show/NCT04316949"
222,"NCT04323761","Expanded Access Treatment Protocol: Remdesivir (RDV; GS-5734) for the Treatment of SARS-CoV2 (CoV) Infection",,"Available","No Results Available","SARS-CoV2 Infection","Drug: Remdesivir",,"Gilead Sciences","All","18 Years and older   (Adult, Older Adult)",,,"Industry","Expanded Access:Treatment IND/Protocol",,"GS-US-540-5821",,,,"March 27, 2020",,"April 6, 2020","Huntington Hospital, Pasadena, California, United States|California Pacific Medical Center, San Francisco, California, United States|Regional Medical Center, San Jose, California, United States|Piedmont Fayette Hospital, Fayetteville, Georgia, United States|Ochsner Medical Center, New Orleans, Louisiana, United States|Hackensack Meridian Health - JFK Medical Center, Edison, New Jersey, United States|The Valley Hospital, Ridgewood, New Jersey, United States|Holy Name Medical Center, Teaneck, New Jersey, United States|Maimonides Medical Center, Brooklyn, New York, United States|New York Presbyterian Hospital, Flushing, New York, United States|Mount Sinai South Nassau, Oceanside, New York, United States",,"https://ClinicalTrials.gov/show/NCT04323761"
223,"NCT04261270","A Randomized,Open,Controlled Clinical Study to Evaluate the Efficacy of ASC09F and Ritonavir for 2019-nCoV Pneumonia",,"Recruiting","No Results Available","2019-nCoV Pneumonia","Drug: ASC09F+Oseltamivir|Drug: Ritonavir+Oseltamivir|Drug: Oseltamivir","Rate of comprehensive adverse outcome|Time of clinical remission|Rate of no fever|Rate of no cough|Rate of no dyspnea|Rate of no need for oxygen inhalation|Rate of undetectable viral RNA|Rate of mechanical ventilation|Rate of ICU admission|Rate and time of CRP,ES,Biochemical criterion(CK,ALT,Mb)recovery","Tongji Hospital","All","18 Years to 55 Years   (Adult)","Phase 3","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","ASC09F-CTP-TJ-01","February 1, 2020","May 1, 2020","July 1, 2020","February 7, 2020",,"March 17, 2020","Department and Institute of Infectious Disease, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04261270"
224,"NCT04332042","TOFAcitinib in SARS-CoV2 Pneumonia",,"Not yet recruiting","No Results Available","SARS-COv2 Related Interstitial Pneumonia","Drug: Tofacitinib","need of mechanical ventilation|need of admission in intensive care unit|death|rate of adverse events","Università Politecnica delle Marche","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","50","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TOFACoV","April 10, 2020","June 20, 2020","July 10, 2020","April 2, 2020",,"April 2, 2020","Ospedali Riuniti di Ancona, Ancona, Marche, Italy",,"https://ClinicalTrials.gov/show/NCT04332042"
225,"NCT04311697","Intravenous Aviptadil for COVID-19 Associated Acute Respiratory Distress","COVID-AIV","Not yet recruiting","No Results Available","Acute Respiratory Distress Syndrome|Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS)|Corona Virus Infection","Drug: Aviptadil by intravenous infusion + maximal intensive care|Drug: Normal Saline Infusion + Maximal intensive care","Mortality|PaO2:FiO2 ratio|TNF alpha|Multi-system organ failure free days","NeuroRx, Inc.|Relief Therapeutics Holding SA|Target Health Inc.|Lavin Consulting, LLC","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 2","120","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","COVID-AIV","April 2020","August 2020","September 2020","March 17, 2020",,"April 7, 2020","Miller School of Medicine / University of Miami Medical Center, Miami, Florida, United States|Robert I Grossman School of Medicine / NYU Langone Medical Center, New York, New York, United States|Rambam Health Care Campus, Haifa, Israel",,"https://ClinicalTrials.gov/show/NCT04311697"
226,"NCT04316728","Clinical Performance of the VivaDiag ™ COVID-19 lgM / IgG Rapid Test in Early Detecting the Infection of COVID-19",,"Not yet recruiting","No Results Available","Coronavirus Infections","Device: VivaDiag™ COVID-19 lgM/IgG Rapid Test","Number of patients with constant negative results|Number of patients with positive test with a positive PCR for COVID-19|Overall Number of patients positive for COVID-19|Overall Number of patients negative for COVID-19|Number of patients with contrasting results|Reliability of the test|Positive HCW|Number of Chronic Patients","Centro Studi Internazionali, Italy|VivaChek Laboratories, Inc.","All","18 Years and older   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","VivaDiag-2020","March 2020","September 2020","November 2020","March 20, 2020",,"March 20, 2020","Unità' Complesse di cure primarie (UCCP), ASP Catanzaro, Catanzaro, Italy",,"https://ClinicalTrials.gov/show/NCT04316728"
227,"NCT04327349","Investigating Effect of Convalescent Plasma on COVID-19 Patients Outcome: A Clinical Trial",,"Enrolling by invitation","No Results Available","Coronavirus Infections","Biological: Convalescent Plasma","Mortality changes in day 10|Mortality changes in day 30|Changes of C-reactive protein|Changes of Interleukin 6|Changes of tumor necrosis factor-α|Changes of PaO2/FiO2 Ratio|Changes of CD3|Changes of CD4|Changes of CD8|Changes of CD4/CD8 ratio|Changes of lymphocyte count|Changes of leukocyte count|Changes of alanine transaminase (ALT)|Changes of aspartate transaminase (AST)|Changes of alkaline phosphatase (ALP)|Changes of lactate dehydrogenase (LDH)|Changes of creatine phosphokinase (CPK)|Changes of Creatine kinase-MB (CK-MB)|Changes of Specific IgG|Radiological findings|Number of days ventilated|Length of hospitalization","Mazandaran University of Medical Sciences","All","30 Years to 70 Years   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IR.MAZUMS.REC.1399.7330|IRCT20181104041551N1","March 28, 2020","May 20, 2020","September 30, 2020","March 31, 2020",,"March 31, 2020","Imam Khomeini Hospital, Mazandaran University of Medical Sciences, Sari, Mazandaran, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT04327349"
228,"NCT04328129","Household Transmission Investigation Study for COVID-19 in French Guiana","EPI-COVID-19","Recruiting","No Results Available","Coronavirus Infections|Severe Acute Respiratory Syndrome|SARS-CoV Infection","Procedure: Human biological samples","Evaluation of the extent of the virus transmission within households|Characterization of the secondary cases","Institut Pasteur|Institut Pasteur de la Guyane|Centre Hospitalier Andrée Rosemon de Cayenne","All","Child, Adult, Older Adult","Not Applicable","450","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Screening","2020-009","March 23, 2020","March 23, 2022","March 23, 2022","March 31, 2020",,"March 31, 2020","Centre Hospitalier Andrée Rosemon, Cayenne, French Guiana|Institut Pasteur de la Guyane, Cayenne, French Guiana",,"https://ClinicalTrials.gov/show/NCT04328129"
229,"NCT04329195","ACE Inhibitors or ARBs Discontinuation in Context of SARS-CoV-2 Pandemic","ACORES-2","Not yet recruiting","No Results Available","History of Cardiovascular Disease Treated With RAS Blockers and With SARS-CoV-2 Infection","Drug: 1: discontinuation of RAS blocker therapy|Drug: 2: continuation of RAS blocker therapy","Time to clinical improvement from day 0 to day 28 (improvement of two points on a seven-category ordinal scale, or live discharge from the hospital, whichever comes first)|Primary safety endpoint: major adverse cardiac events defined as the composite of cardiovascular death, myocardial infarction, stroke or acute heart failure at day 28|Clinical status as assessed with the seven-category ordinal scale on days 7, 14 and 28.|Number of days alive free of oxygen.|Number of days alive outside hospital until day28|Number of days alive free of intensive-care unit (ICU) admission or mechanical ventilation (invasive or non-invasive) until day28|Number of days alive free of mechanical ventilation (invasive or non-invasive) until day28|Number of days alive free of ICU admission until day28|Rate of all-cause mortality at day 28|Rate of cardiovascular death at day 28|Number of days alive free of acute kidney injury until hospital discharge","Assistance Publique - Hôpitaux de Paris|Groupe Hospitalier Pitié-Salpêtrière","All","18 Years and older   (Adult, Older Adult)","Phase 3","554","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APHP200409","April 2020","May 2020","May 2020","April 1, 2020",,"April 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04329195"
230,"NCT04263402","The Efficacy of Different Hormone Doses in 2019-nCoV Severe Pneumonia",,"Recruiting","No Results Available","2019-nCoV Severe Pneumonia","Drug: Methylprednisolone","Rate of disease remission|Rate and time of entering the critical stage|Rate of normal tempreture|Rate of respiratory symptom remission|Rate of lung imaging recovery|Rate of laboratory indicator recovery|Rate of undetectable viral RNA","Tongji Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 4","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","TJ20200201","February 1, 2020","June 1, 2020","July 1, 2020","February 10, 2020",,"March 17, 2020","Department and Institute of Infectious Disease, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04263402"
231,"NCT04331106","Survey of the Anxiety Associated With the SARS-CoV-2 Pandemic","CORA","Recruiting","No Results Available","Anxiety Related to the SARS-CoV-2 Pandemic","Diagnostic Test: Online Questionnaire","Characteristics of SARS-CoV-2-related anxiety|SARS-CoV-2-related anxiety symptoms|Self-efficacy and coping with SARS-CoV-2|Consequences of SARS-CoV-2 in the last three weeks.|General Illness Attitude|Media reporting|Ultra-brief screening scale for anxiety and depression|Change in characteristics of SARS-CoV-2-related anxiety|Change in SARS-CoV-2-related anxiety symptoms","Charite University, Berlin, Germany","All","18 Years and older   (Adult, Older Adult)",,"5000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","EA1/071/20","March 27, 2020","September 2020","September 2021","April 2, 2020",,"April 7, 2020","Charité-Universitätsmedizin Berlin - Department of Psychiatry and Psychotherapy, Berlin, Germany",,"https://ClinicalTrials.gov/show/NCT04331106"
